iter	Logloss
0	0.198372707
1	0.06295039894
2	0.02930673151
3	0.01693857975
4	0.01355467809
5	0.0121641319
6	0.01120213013
7	0.0098453413
8	0.009582702928
9	0.008841577568
10	0.008506800349
11	0.008324786014
12	0.007995878236
13	0.007831174347
14	0.007581083144
15	0.007406168708
16	0.007286563171
17	0.007152413989
18	0.007052932591
19	0.006923241617
20	0.00682845795
21	0.006722231635
22	0.006622543256
23	0.006545467759
24	0.006406168116
25	0.006314006224
26	0.006221093856
27	0.006129474158
28	0.006024834482
29	0.005958156536
30	0.00581334476
31	0.005749508387
32	0.005707100567
33	0.005628407651
34	0.005539816579
35	0.00546020083
36	0.005392054151
37	0.005356581813
38	0.005308637073
39	0.005238120768
40	0.005181450856
41	0.005068406618
42	0.00503096595
43	0.004962422614
44	0.004870423204
45	0.004806553732
46	0.004732283813
47	0.004682401767
48	0.004621504137
49	0.004570738744
50	0.004512261572
51	0.004473836521
52	0.0044337533
53	0.004382147024
54	0.004319125626
55	0.004251486463
56	0.004181920443
57	0.004144515852
58	0.004108598689
59	0.004078714216
60	0.004059084399
61	0.00402749889
62	0.003987176577
63	0.003929471862
64	0.003896582653
65	0.003836737975
66	0.003811807682
67	0.00376979622
68	0.003744793788
69	0.003719805067
70	0.003708215579
71	0.003677137291
72	0.003627576075
73	0.003596521342
74	0.003564495847
75	0.003536099591
76	0.003510248827
77	0.00346508712
78	0.003436956099
79	0.003411957988
80	0.00335873443
81	0.003335912745
82	0.003283543198
83	0.003260000048
84	0.003227690096
85	0.003176044822
86	0.003164581528
87	0.003123664607
88	0.003097808746
89	0.003061814412
90	0.003028442451
91	0.003009996299
92	0.002990913778
93	0.002927810125
94	0.002911845754
95	0.002885927689
96	0.002882458325
97	0.00283999231
98	0.002814235804
99	0.00280246626
100	0.002792806617
101	0.002745458175
102	0.002722092933
103	0.002670329755
104	0.002652770298
105	0.002644006137
106	0.00262362511
107	0.002599221371
108	0.002557792872
109	0.002531825013
110	0.00251301604
111	0.002497390633
112	0.002469007895
113	0.002462130991
114	0.002408202537
115	0.002393826586
116	0.00238358504
117	0.002351686761
118	0.002334256752
119	0.002306204363
120	0.002288658467
121	0.002256521478
122	0.002241510952
123	0.002227141836
124	0.002215312971
125	0.002200818809
126	0.002191090158
127	0.002169618888
128	0.002155355063
129	0.002116671712
130	0.002102669273
131	0.002085842024
132	0.00205994133
133	0.002033670894
134	0.002014948051
135	0.001999558592
136	0.001993458516
137	0.001962466234
138	0.001956896043
139	0.001940104385
140	0.001938271028
141	0.001931551886
142	0.001919877091
143	0.001910656529
144	0.001900315171
145	0.001887236902
146	0.001885566773
147	0.001852699451
148	0.001842642644
149	0.001832147203
150	0.00181403441
151	0.001799598129
152	0.001787504898
153	0.001771140401
154	0.001769625343
155	0.001758662701
156	0.001748959189
157	0.001747299563
158	0.001740183212
159	0.001730351183
160	0.001714803994
161	0.001706921273
162	0.001699968505
163	0.001686143768
164	0.001673598055
165	0.00166732331
166	0.001658634696
167	0.001639799059
168	0.001629457558
169	0.001621934148
170	0.001611317311
171	0.001603433956
172	0.001594857534
173	0.001587258796
174	0.001571695101
175	0.001559866023
176	0.001547652917
177	0.001539608999
178	0.001534292994
179	0.001525196408
180	0.001516771973
181	0.00151214597
182	0.001503449077
183	0.001496725738
184	0.001475744926
185	0.00146845141
186	0.001459704445
187	0.001452235963
188	0.001450291578
189	0.00144125483
190	0.001427985349
191	0.001427214976
192	0.001409756593
193	0.001393661623
194	0.001384563505
195	0.001380016577
196	0.001366424745
197	0.001358181132
198	0.001357394839
199	0.001344501768
